Regional Council,Registry,Locality,Date of Constitution,Email,Address,Postal Code,Phone,Fax,Mobile Phone,Name
Porto,42/96,MATOSINHOS,23-07-1996,sociedade-advogados@clix.pt,"Rua Brito e Cunha, 254 - 3º esq e centro",4450-242 MATOSINHOS,229388896,229385987,," A. PIMENTEL LOURENÇO & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,79/08,BRAGA,18-11-2008,advogadas@advogadas.info,"R. 25 de Abril, 352 - 1º.  drtº.  Apartado 3037",4710-914 BRAGA,253263646,253263659,,"A. A. M. M. SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,14/05,CELORICO DE BASTO,02-02-2005,a.cunhaesousa-3487p@adv.oa.pt,"Rua Serpa Pinto, 543 - 1º esq.",4890-238 CELORICO DE BASTO,255321277,255322822,,"A. CUNHA E SOUSA & ASSOCIADOS-SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,2/86,PORTO,10-03-1986,inesfolhadela@socadvogados.com,"Av. da Boavista, 46-1º.",4050-112 PORTO,226099056,226000054,,"A. DE FREITAS GOMES, INÊS FOLHADELA -SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,55/14,TROFA,31-10-2014,secr.advdias@gmail.com,"Rua Conde S Bento, 735 - 1º andar Sala 2",4785-296 TROFA,252417531,252419308,,"A. DIAS & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,41/04,GUIMARÃES,31-08-2004,drcasimiroribeiro-2870p@adv.oa.pt,"R. Professor Egas Moniz, 387",4810-027 GUIMARÃES,253520940,253415574,,"A. SOUSA PINTO, CASIMIRO JOSÉ RIBEIRO - SOCIEDADE DE ADVOGADOS, SP, RL"
Porto,14/92,PORTO,26-02-1992,accc.advog@mail.telepac.pt,"R. de Grijó, 26  Salas  1  a  3",4150-384 PORTO,225322966,226174003,,"ABEL CARDOSO, CATARINA CARVALHO, ESTEVES DE AGUIAR & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL"
Porto,21/94,PORTO,24-03-1994,miguelaranha-9248p@adv.oa.pt,"Rua de Ceuta, 118 - 2º. Sala 14",4050-190 PORTO,222008272,222002058,,ABÍLIO ARANHA E ASSOCIADOS-SOCIEDADE DE ADVOGADOS
Porto,28/02,PORTO,01-04-2002,mabreu.amorim-7520p@adv.oa.pt,"R. Dr. Barbosa de Castro, 69 - 4º.",4050-091 PORTO,222006724,222084049,,ABREU AMORIM E LOUREIRO-SOCIEDADE DE ADVOGADOS
Porto,35/97,PAREDES,17-07-1997,afmarques-2799p@adv.oa.pt,"Av. Comendador Abílio Seabra,  172 - 2º.   - Apartado 86",4580-029 PAREDES,255782875,255782122,,"ADRIANO FERREIRA MARQUES & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL"
